regime,value,detection_period,drop_threshold,reversal_threshold,tp_pct,sl_pct
0,1000.0335830016637,3,0.1018,0.04004,0.0956,0.06546
0,1000.0,1,0.1021,0.07403,0.015200000000000002,0.012020000000000001
0,1000.0,4,0.1439,0.12657000000000002,0.025300000000000003,0.003830000000000001
0,1000.0,1,0.1392,0.06336,0.0546,0.006960000000000001
0,1000.0,2,0.11950000000000001,0.08565,0.0836,0.053360000000000005
0,1000.0,2,0.1221,0.08463,0.0728,0.03418
0,1000.0,1,0.13,0.10250000000000001,0.0565,0.02815
0,1000.0,3,0.1096,0.05338,0.08,0.0495
0,1000.0,5,0.13190000000000002,0.09917000000000001,0.0877,0.06217
0,1000.0,3,0.1451,0.12533,0.045000000000000005,0.0122
0,1000.0,4,0.1496,0.12968000000000002,0.0191,0.00391
0,1000.0,2,0.1228,0.10494,0.0165,0.00285
0,1000.0,3,0.1356,0.09248,0.046400000000000004,0.018740000000000003
0,1000.0,3,0.1173,0.08179,0.0769,0.02399
0,1000.0,1,0.14250000000000002,0.11695,0.0695,0.015050000000000001
0,1000.0,1,0.1355,0.06634999999999999,0.045000000000000005,0.0085
0,1000.0,1,0.1265,0.05745,0.06010000000000001,0.01131
0,1000.0,2,0.13990000000000002,0.07937000000000001,0.0327,0.00627
0,1000.0,4,0.1497,0.06451,0.051800000000000006,0.01708
0,1000.0,5,0.1162,0.045259999999999995,0.0342,0.00922
1,1000.0,3,0.1018,0.04004,0.0956,0.06546
1,1000.0,1,0.1021,0.07403,0.015200000000000002,0.012020000000000001
1,1000.0,4,0.1439,0.12657000000000002,0.025300000000000003,0.003830000000000001
1,1000.0,5,0.1121,0.06323000000000001,0.0374,0.00664
1,1000.0,1,0.1392,0.06336,0.0546,0.006960000000000001
1,1000.0,2,0.11950000000000001,0.08565,0.0836,0.053360000000000005
1,1000.0,2,0.1221,0.08463,0.0728,0.03418
1,1000.0,1,0.13,0.10250000000000001,0.0565,0.02815
1,1000.0,3,0.1096,0.05338,0.08,0.0495
1,1000.0,5,0.13190000000000002,0.09917000000000001,0.0877,0.06217
1,1000.0,4,0.1096,0.07218,0.0235,0.00495
1,1000.0,3,0.1451,0.12533,0.045000000000000005,0.0122
1,1000.0,4,0.1496,0.12968000000000002,0.0191,0.00391
1,1000.0,2,0.1228,0.10494,0.0165,0.00285
1,1000.0,3,0.1356,0.09248,0.046400000000000004,0.018740000000000003
1,1000.0,3,0.1173,0.08179,0.0769,0.02399
1,1000.0,5,0.1135,0.06515,0.0392,0.00802
1,1000.0,5,0.12680000000000002,0.07894000000000001,0.0212,0.00852
1,1000.0,5,0.1383,0.10949,0.0269,0.01549
1,1000.0,4,0.1067,0.06801,0.049,0.0238
2,1119.8972778329749,3,0.1018,0.04004,0.0956,0.06546
2,1107.589309540252,4,0.0812,0.05086,0.065,0.0079
2,1107.589309540252,4,0.0722,0.05136,0.065,0.0078000000000000005
2,1107.1502389143689,4,0.0946,0.05018,0.064,0.009000000000000001
2,1107.1502389143689,4,0.0941,0.048229999999999995,0.06470000000000001,0.008870000000000001
2,1090.7574427311047,6,0.1164,0.047920000000000004,0.0653,0.00803
2,1090.7574427311047,6,0.117,0.0431,0.0674,0.007940000000000001
2,1090.7574427311047,6,0.1135,0.04195,0.0673,0.00753
2,1090.7574427311047,4,0.1043,0.043089999999999996,0.0687,0.008570000000000001
2,1090.7574427311047,4,0.10490000000000001,0.04197,0.0674,0.00854
2,1090.7574427311047,4,0.0995,0.045950000000000005,0.0648,0.00758
2,1090.7574427311047,4,0.1062,0.03986,0.0651,0.007710000000000002
2,1090.7574427311047,4,0.1036,0.04928,0.0659,0.008190000000000001
2,1090.7574427311047,4,0.1067,0.04971,0.0667,0.00867
2,1090.7574427311047,4,0.1063,0.05069,0.06760000000000001,0.008060000000000001
2,1090.7574427311047,4,0.1018,0.04674,0.0653,0.00833
2,1090.7574427311047,4,0.1026,0.04708,0.0645,0.007850000000000001
2,1090.3246595282353,6,0.1181,0.04693,0.0698,0.00888
2,1090.3246595282353,4,0.1101,0.049629999999999994,0.06760000000000001,0.00876
2,1090.3246595282353,4,0.10350000000000001,0.04965,0.06520000000000001,0.008820000000000001
3,1003.527079414817,2,0.12040000000000001,0.06092,0.0914,0.04784000000000001
3,1003.2836343888798,2,0.1193,0.061590000000000006,0.0905,0.052550000000000006
3,1003.2836343888798,2,0.1188,0.06154,0.0912,0.05342
3,1003.2659341890502,2,0.12040000000000001,0.06222,0.0949,0.04799
3,1003.1659521308154,2,0.11850000000000001,0.06185,0.0933,0.05273
3,1003.1065061134134,2,0.1193,0.060090000000000005,0.09129999999999999,0.05263
3,1003.0179617446679,2,0.12000000000000001,0.06130000000000001,0.0885,0.05205
3,1002.9350368246849,2,0.1201,0.06053,0.0874,0.05124000000000001
3,1002.9350368246849,2,0.1207,0.06001,0.0894,0.05384
3,1002.9350368246849,2,0.12040000000000001,0.060719999999999996,0.0897,0.05467
3,1002.9107803220015,2,0.1208,0.06044000000000001,0.0858,0.05388
3,1002.7039979852195,2,0.1203,0.05869,0.09469999999999999,0.04917
3,1002.6677373886281,2,0.12000000000000001,0.062200000000000005,0.0907,0.05117000000000001
3,1002.6601788932734,2,0.1207,0.05771,0.0903,0.05253000000000001
3,1002.6565600056289,2,0.1188,0.05994,0.088,0.051800000000000006
3,1002.6209129227622,2,0.1169,0.06127,0.0944,0.04754
3,1002.542496635209,2,0.1199,0.05797000000000001,0.09519999999999999,0.05092
3,1002.542496635209,2,0.1201,0.05673,0.0949,0.05109
3,1002.5390675223836,2,0.12140000000000001,0.06252,0.0948,0.048580000000000005
3,1002.5289160078311,2,0.1198,0.06174,0.08449999999999999,0.05275
4,1027.2299549367922,6,0.1308,0.09024,0.0853,0.036930000000000004
4,1027.2299549367922,6,0.131,0.09010000000000001,0.08549999999999999,0.03665
4,1027.2299549367922,6,0.136,0.0892,0.0926,0.035960000000000006
4,1027.2299549367922,6,0.13319999999999999,0.09006,0.0836,0.037360000000000004
4,1027.2299549367922,6,0.13390000000000002,0.08987,0.0837,0.03667
4,1027.2299549367922,6,0.13340000000000002,0.08982000000000001,0.0837,0.036570000000000005
4,1027.2299549367922,6,0.13340000000000002,0.09012,0.0861,0.03591
4,1027.2299549367922,6,0.137,0.0905,0.0898,0.03588
4,1027.2299549367922,6,0.1326,0.08938,0.0934,0.03594
4,1027.2299549367922,6,0.13140000000000002,0.09012,0.0876,0.03706
4,1027.2299549367922,6,0.134,0.0902,0.0857,0.03667
