timestamp,open,high,low,close,volume
2025-12-04T20:19:20.000Z,4.13e-07,4.22e-07,3.76e-07,3.85e-07,15.286976393
2025-12-04T20:19:30.000Z,4.27e-07,4.5e-07,3.99e-07,4.5e-07,13.760020522
2025-12-04T20:19:40.000Z,4.5e-07,4.5e-07,4.43e-07,4.43e-07,3.355771109
2025-12-04T20:19:50.000Z,4.54e-07,4.96e-07,4.46e-07,4.67e-07,18.783930857
2025-12-04T20:20:00.000Z,4.64e-07,4.64e-07,4.39e-07,4.39e-07,3.655739178
2025-12-04T20:20:10.000Z,4.43e-07,5.65e-07,4.42e-07,5.63e-07,7.058202367
2025-12-04T20:20:20.000Z,6.52e-07,6.55e-07,6.21e-07,6.4e-07,6.635789408
2025-12-04T20:20:30.000Z,6.39e-07,6.39e-07,5.49e-07,5.59e-07,23.29016394
2025-12-04T20:20:50.000Z,5.62e-07,5.62e-07,5.47e-07,5.47e-07,1.567761013
2025-12-04T20:21:00.000Z,5.47e-07,5.47e-07,5.22e-07,5.22e-07,3.109360167
2025-12-04T20:21:10.000Z,5.22e-07,5.23e-07,4.83e-07,5.2e-07,5.703542805
2025-12-04T20:21:20.000Z,4.87e-07,5.02e-07,4.18e-07,4.18e-07,18.572202676
2025-12-04T20:21:30.000Z,3.93e-07,4.18e-07,3.73e-07,3.73e-07,10.680359961
2025-12-04T20:21:40.000Z,3.66e-07,3.74e-07,3.63e-07,3.73e-07,2.955754191
2025-12-04T20:21:50.000Z,4.16e-07,4.4e-07,4.16e-07,4.22e-07,5.348235278
2025-12-04T20:22:00.000Z,4.65e-07,4.79e-07,4.36e-07,4.36e-07,8.239690586
2025-12-04T20:22:10.000Z,4.4e-07,4.65e-07,4.4e-07,4.4e-07,2.191218384
2025-12-04T20:22:20.000Z,4.63e-07,4.63e-07,4.53e-07,4.53e-07,1.092369679
2025-12-04T20:22:30.000Z,4.56e-07,4.57e-07,4.56e-07,4.57e-07,0.332056089
2025-12-04T20:22:40.000Z,4.52e-07,4.52e-07,4.43e-07,4.43e-07,3.257407517
2025-12-04T20:22:50.000Z,4.42e-07,4.42e-07,4.25e-07,4.25e-07,3.860958306
2025-12-04T20:23:00.000Z,4.07e-07,4.25e-07,4.05e-07,4.25e-07,2.247314265
2025-12-04T20:23:10.000Z,4.24e-07,4.24e-07,3.79e-07,3.83e-07,9.478599891
2025-12-04T20:23:20.000Z,3.78e-07,3.78e-07,3.78e-07,3.78e-07,0.088472205
2025-12-04T20:23:30.000Z,3.78e-07,3.78e-07,3.78e-07,3.78e-07,0.080071146
2025-12-04T20:23:40.000Z,3.77e-07,3.77e-07,3.65e-07,3.65e-07,1.336003064
2025-12-04T20:23:50.000Z,3.65e-07,3.65e-07,3.64e-07,3.64e-07,0.57809932
2025-12-04T20:24:00.000Z,3.57e-07,3.69e-07,3.53e-07,3.57e-07,1.82113346
2025-12-04T20:24:10.000Z,3.52e-07,3.52e-07,2.69e-07,3.51e-07,14.366060919
2025-12-04T20:24:20.000Z,3.41e-07,3.5e-07,3.41e-07,3.49e-07,1.181487923
2025-12-04T20:24:30.000Z,3.48e-07,3.48e-07,3.48e-07,3.48e-07,0.781377241
2025-12-04T20:24:40.000Z,3.44e-07,3.44e-07,3.39e-07,3.39e-07,0.581094128
2025-12-04T20:24:50.000Z,3.39e-07,3.39e-07,3.35e-07,3.35e-07,0.775580559
2025-12-04T20:25:00.000Z,3.32e-07,3.32e-07,3.32e-07,3.32e-07,0.084552
2025-12-04T20:25:10.000Z,3.32e-07,3.32e-07,3.31e-07,3.31e-07,2.481365348
2025-12-04T20:25:20.000Z,3.11e-07,3.23e-07,3.11e-07,3.23e-07,1.502185339
2025-12-04T20:25:30.000Z,3.23e-07,3.23e-07,3.23e-07,3.23e-07,0.082083839
2025-12-04T20:25:40.000Z,3.22e-07,3.22e-07,3.21e-07,3.21e-07,0.571954391
2025-12-04T20:25:50.000Z,3.25e-07,3.42e-07,3.25e-07,3.4e-07,2.488250366
2025-12-04T20:26:00.000Z,3.61e-07,3.61e-07,3.61e-07,3.61e-07,0.490230007
2025-12-04T20:26:10.000Z,4.25e-07,4.25e-07,4.14e-07,4.14e-07,1.266953586
2025-12-04T20:26:20.000Z,4.11e-07,4.11e-07,4.06e-07,4.06e-07,0.788293692
2025-12-04T20:26:40.000Z,4.13e-07,4.14e-07,4.13e-07,4.14e-07,0.610261001
2025-12-04T20:26:50.000Z,4.69e-07,4.76e-07,4.69e-07,4.76e-07,5.741332041
2025-12-04T20:27:00.000Z,4.78e-07,4.78e-07,4.78e-07,4.78e-07,1.137729922
2025-12-04T20:27:10.000Z,4.67e-07,4.67e-07,4.67e-07,4.67e-07,0.379926024
2025-12-04T20:27:20.000Z,4.71e-07,4.72e-07,4.71e-07,4.72e-07,1.581527438
2025-12-04T20:27:30.000Z,4.57e-07,4.57e-07,4.57e-07,4.57e-07,0.202200097
2025-12-04T20:27:40.000Z,4.7e-07,4.7e-07,4.7e-07,4.7e-07,0.204834573
2025-12-04T20:27:50.000Z,4.64e-07,4.64e-07,4.64e-07,4.64e-07,1.421599165
2025-12-04T20:28:00.000Z,4.58e-07,4.58e-07,4.43e-07,4.54e-07,1.997790156
2025-12-04T20:28:20.000Z,4.48e-07,4.48e-07,4.42e-07,4.42e-07,2.892674264
2025-12-04T20:28:40.000Z,4.2e-07,4.2e-07,4.04e-07,4.04e-07,3.84666153
2025-12-04T20:29:10.000Z,3.84e-07,3.84e-07,3.84e-07,3.84e-07,0.09766185
2025-12-04T20:29:20.000Z,3.85e-07,3.85e-07,3.85e-07,3.85e-07,0.078717364
2025-12-04T20:29:30.000Z,3.81e-07,3.85e-07,3.81e-07,3.85e-07,0.919440535
2025-12-04T20:29:40.000Z,3.85e-07,3.85e-07,3.85e-07,3.85e-07,1.865841003
2025-12-04T20:29:50.000Z,3.48e-07,3.69e-07,3.45e-07,3.49e-07,4.709323945
2025-12-04T20:30:00.000Z,3.37e-07,3.38e-07,2.98e-07,2.98e-07,8.436210639
2025-12-04T20:30:10.000Z,3.05e-07,3.06e-07,3.05e-07,3.06e-07,0.444081115
2025-12-04T20:30:20.000Z,3.05e-07,3.28e-07,3.03e-07,3.21e-07,4.040587137
2025-12-04T20:30:30.000Z,3.12e-07,3.16e-07,3.07e-07,3.16e-07,1.688556816
2025-12-04T20:30:50.000Z,3.17e-07,3.21e-07,3.17e-07,3.21e-07,1.983076975
2025-12-04T20:31:00.000Z,3.09e-07,3.1e-07,3.09e-07,3.1e-07,0.197039647
2025-12-04T20:31:10.000Z,3.1e-07,3.1e-07,3.08e-07,3.08e-07,0.680178146
2025-12-04T20:31:20.000Z,3.05e-07,3.05e-07,3.05e-07,3.05e-07,2.182134956
2025-12-04T20:31:30.000Z,2.87e-07,2.87e-07,2.85e-07,2.85e-07,2.185835973
2025-12-04T20:31:40.000Z,2.74e-07,2.74e-07,2.74e-07,2.74e-07,0.681313148
2025-12-04T20:31:50.000Z,2.81e-07,2.81e-07,2.81e-07,2.81e-07,0.049964566
2025-12-04T20:32:10.000Z,3e-07,3.01e-07,3e-07,3e-07,0.440332322
2025-12-04T20:32:20.000Z,3.02e-07,3.02e-07,2.41e-07,2.53e-07,12.83043468
2025-12-04T20:32:30.000Z,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.496411927
2025-12-04T20:32:40.000Z,2.75e-07,2.75e-07,2.75e-07,2.75e-07,0.42261413
2025-12-04T20:33:00.000Z,2.72e-07,2.72e-07,2.72e-07,2.72e-07,1.344142487
2025-12-04T20:33:20.000Z,2.62e-07,2.62e-07,2.62e-07,2.62e-07,0.011275153
2025-12-04T20:33:30.000Z,2.61e-07,2.61e-07,2.55e-07,2.55e-07,1.068940067
2025-12-04T20:33:40.000Z,2.53e-07,2.53e-07,2.53e-07,2.53e-07,0.77122178
2025-12-04T20:34:00.000Z,2.48e-07,2.48e-07,2.48e-07,2.48e-07,1.899344309
2025-12-04T20:34:10.000Z,2.62e-07,2.62e-07,2.62e-07,2.62e-07,0.491479796
2025-12-04T20:34:20.000Z,2.66e-07,2.66e-07,2.66e-07,2.66e-07,0.642630453
2025-12-04T20:34:30.000Z,2.71e-07,2.71e-07,2.71e-07,2.71e-07,0.15336194
2025-12-04T20:35:00.000Z,2.73e-07,2.73e-07,2.68e-07,2.68e-07,0.75980842
2025-12-04T20:35:10.000Z,2.67e-07,2.67e-07,2.67e-07,2.67e-07,0.199249795
2025-12-04T20:35:40.000Z,2.65e-07,2.65e-07,2.65e-07,2.65e-07,0.00013953
2025-12-04T20:36:50.000Z,2.64e-07,2.65e-07,2.62e-07,2.62e-07,1.011301975
2025-12-04T20:37:10.000Z,2.57e-07,2.57e-07,2.57e-07,2.57e-07,0.152648923
2025-12-04T20:37:30.000Z,2.56e-07,2.56e-07,2.56e-07,2.56e-07,0.279135599
2025-12-04T20:38:10.000Z,2.57e-07,2.57e-07,2.51e-07,2.51e-07,2.278541331
2025-12-04T20:38:20.000Z,2.63e-07,2.9e-07,2.63e-07,2.9e-07,2.26621168
2025-12-04T20:38:40.000Z,3.03e-07,3.2e-07,3.03e-07,3.13e-07,3.574977929
2025-12-04T20:38:50.000Z,3.12e-07,3.12e-07,3.12e-07,3.12e-07,0.712060015
2025-12-04T20:39:00.000Z,3.07e-07,3.07e-07,3.04e-07,3.04e-07,0.381721813
2025-12-04T20:39:10.000Z,3.1e-07,3.1e-07,3.1e-07,3.1e-07,3.787876087
2025-12-04T20:39:20.000Z,3.44e-07,3.52e-07,3.44e-07,3.52e-07,0.781152331
2025-12-04T20:39:30.000Z,3.51e-07,3.51e-07,3.51e-07,3.51e-07,0.835219619
2025-12-04T20:39:40.000Z,3.44e-07,3.44e-07,3.44e-07,3.44e-07,0.194188558
2025-12-04T20:40:00.000Z,3.42e-07,3.42e-07,3.42e-07,3.42e-07,0.982144464
2025-12-04T20:40:10.000Z,3.34e-07,3.59e-07,3.31e-07,3.59e-07,4.982529584
2025-12-04T20:40:20.000Z,3.51e-07,3.57e-07,3.46e-07,3.46e-07,1.445757903
2025-12-04T20:40:40.000Z,3.49e-07,3.49e-07,3.38e-07,3.38e-07,1.199691235
2025-12-04T20:40:50.000Z,3.38e-07,3.38e-07,3.17e-07,3.38e-07,2.770749126
2025-12-04T20:41:00.000Z,3.15e-07,3.15e-07,3.15e-07,3.15e-07,0.024262936
2025-12-04T20:41:10.000Z,3.15e-07,3.15e-07,3.15e-07,3.15e-07,0.261251951
2025-12-04T20:41:20.000Z,3.13e-07,3.13e-07,3.06e-07,3.06e-07,1.310977538
2025-12-04T20:41:30.000Z,3.14e-07,3.14e-07,3.14e-07,3.14e-07,2.878331961
2025-12-04T20:41:50.000Z,3.67e-07,3.67e-07,3.67e-07,3.67e-07,0.975694192
2025-12-04T20:42:00.000Z,3.85e-07,3.85e-07,3.75e-07,3.75e-07,2.015354961
2025-12-04T20:42:10.000Z,3.67e-07,3.67e-07,3.55e-07,3.55e-07,2.21172196
2025-12-04T20:42:20.000Z,3.47e-07,3.47e-07,3.47e-07,3.47e-07,0.272792822
2025-12-04T20:43:20.000Z,3.45e-07,3.56e-07,3.45e-07,3.56e-07,1.781897004
2025-12-04T20:44:20.000Z,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.486557738
2025-12-04T20:45:00.000Z,3.44e-07,3.44e-07,3.44e-07,3.44e-07,0.88463646
2025-12-04T20:45:10.000Z,3.37e-07,3.37e-07,3.19e-07,3.19e-07,4.041058442
2025-12-04T20:45:30.000Z,3.03e-07,3.03e-07,3.03e-07,3.03e-07,2.412805846
2025-12-04T20:45:40.000Z,3.24e-07,3.24e-07,3.24e-07,3.24e-07,0.851129646
2025-12-04T20:45:50.000Z,3.42e-07,3.52e-07,3.42e-07,3.49e-07,3.011023585
2025-12-04T20:46:20.000Z,4.34e-07,4.34e-07,4.25e-07,4.25e-07,1.192212971
